,title,year,runtime[min],genres,averagerating,numvotes,domestic_gross,foreign_gross,total_gross,genre0,genre1,genre2
60,The Twilight Saga: Eclipse,2010,124.0,"Adventure,Drama,Fantasy",5.0,211733,300500000.0,398000000.0,698500000.0,Adventure,Drama,Fantasy
61,Mission: Impossible - Ghost Protocol,2011,132.0,"Action,Adventure,Thriller",7.4,428142,209400000.0,485300000.0,694700000.0,Action,Adventure,Thriller
62,The Hunger Games,2012,142.0,"Action,Adventure,Sci-Fi",7.2,795227,408000000.0,286400000.0,694400000.0,Action,Adventure,Sci-Fi
63,Mission: Impossible - Rogue Nation,2015,131.0,"Action,Adventure,Thriller",7.4,311704,195000000.0,487700000.0,682700000.0,Action,Adventure,Thriller
64,Avengers: Infinity War,2018,149.0,"Action,Adventure,Sci-Fi",8.5,670926,678800000.0,1369.5,678801369.5,Action,Adventure,Sci-Fi
65,Doctor Strange,2016,115.0,"Action,Adventure,Fantasy",7.5,514510,232600000.0,445100000.0,677700000.0,Action,Adventure,Fantasy
66,Interstellar,2014,169.0,"Adventure,Drama,Sci-Fi",8.6,1299334,188000000.0,489400000.0,677400000.0,Adventure,Drama,Sci-Fi
67,Man Of Steel,2013,143.0,"Action,Adventure,Sci-Fi",7.1,647288,291000000.0,377000000.0,668000000.0,Action,Adventure,Sci-Fi
68,Kung Fu Panda 2,2011,90.0,"Action,Adventure,Animation",7.2,228465,165200000.0,500400000.0,665600000.0,Action,Adventure,Animation
69,Justice League,2017,120.0,"Action,Adventure,Fantasy",6.5,329135,229000000.0,428900000.0,657900000.0,Action,Adventure,Fantasy
70,Big Hero 6,2014,102.0,"Action,Adventure,Animation",7.8,371204,222500000.0,435300000.0,657800000.0,Action,Adventure,Animation
71,Fantastic Beasts: The Crimes Of Grindelwald,2018,134.0,"Adventure,Family,Fantasy",6.6,163151,159600000.0,494100000.0,653700000.0,Adventure,Family,Fantasy
72,The Hunger Games: Mockingjay - Part 2,2015,137.0,"Action,Adventure,Sci-Fi",6.6,252384,281700000.0,371700000.0,653400000.0,Action,Adventure,Sci-Fi
