,title,year,runtime[min],genres,averagerating,numvotes,domestic_gross,foreign_gross,total_gross,genre0,genre1,genre2
187,The Conjuring,2013,112.0,"Horror,Mystery,Thriller",7.5,397233,137400000.0,182100000.0,319500000.0,Horror,Mystery,Thriller
188,The Expendables 2,2012,103.0,"Action,Adventure,Thriller",6.6,277584,85000000.0,229900000.0,314900000.0,Action,Adventure,Thriller
189,Maze Runner: The Scorch Trials,2015,131.0,"Action,Sci-Fi,Thriller",6.3,201143,81700000.0,230600000.0,312300000.0,Action,Sci-Fi,Thriller
190,The Lego Batman Movie,2017,104.0,"Action,Animation,Comedy",7.3,116433,175800000.0,136200000.0,312000000.0,Action,Animation,Comedy
191,Little Fockers,2010,98.0,"Comedy,Romance",5.5,99222,148400000.0,162200000.0,310600000.0,Comedy,Romance,
192,The Fault In Our Stars,2014,126.0,"Drama,Romance",7.7,315135,124900000.0,182300000.0,307200000.0,Drama,Romance,
193,Rise Of The Guardians,2012,97.0,"Action,Adventure,Animation",7.3,145281,103400000.0,203500000.0,306900000.0,Action,Adventure,Animation
194,Annabelle: Creation,2017,109.0,"Horror,Mystery,Thriller",6.5,90402,102100000.0,204400000.0,306500000.0,Horror,Mystery,Thriller
195,Wonder,2017,113.0,"Drama,Family",8.0,111632,132400000.0,173500000.0,305900000.0,Drama,Family,
196,Wrath Of The Titans,2012,99.0,"Action,Adventure,Fantasy",5.7,172330,83700000.0,221600000.0,305300000.0,Action,Adventure,Fantasy
197,Skyscraper,2018,102.0,"Action,Adventure,Thriller",5.8,81193,68400000.0,236400000.0,304800000.0,Action,Adventure,Thriller
198,A Good Day To Die Hard,2013,98.0,"Action,Thriller",5.3,188383,67300000.0,237300000.0,304600000.0,Action,Thriller,
199,Battleship,2012,131.0,"Action,Adventure,Sci-Fi",5.8,225342,65400000.0,237600000.0,303000000.0,Action,Adventure,Sci-Fi
200,Dangal,2016,161.0,"Action,Biography,Drama",8.5,123638,12400000.0,290500000.0,302900000.0,Action,Biography,Drama
201,Resident Evil: Afterlife,2010,96.0,"Action,Adventure,Horror",5.9,153270,60100000.0,240100000.0,300200000.0,Action,Adventure,Horror
202,Alice Through The Looking Glass,2016,113.0,"Adventure,Family,Fantasy",6.2,79951,77000000.0,222400000.0,299400000.0,Adventure,Family,Fantasy
203,Real Steel,2011,127.0,"Action,Drama,Family",7.1,283534,85500000.0,213800000.0,299300000.0,Action,Drama,Family
204,Miss Peregrine'S Home For Peculiar Children,2016,127.0,"Adventure,Drama,Fantasy",6.7,140619,87200000.0,209200000.0,296400000.0,Adventure,Drama,Fantasy
205,Ferdinand,2017,108.0,"Adventure,Animation,Comedy",6.7,40229,84400000.0,211700000.0,296100000.0,Adventure,Animation,Comedy
206,Shutter Island,2010,138.0,"Mystery,Thriller",8.1,1005960,128000000.0,166800000.0,294800000.0,Mystery,Thriller,
207,Salt,2010,100.0,"Action,Mystery,Thriller",6.4,277204,118300000.0,175200000.0,293500000.0,Action,Mystery,Thriller
208,Divergent,2014,139.0,"Action,Adventure,Mystery",6.7,399703,150900000.0,137900000.0,288800000.0,Action,Adventure,Mystery
209,Bridesmaids,2011,125.0,"Comedy,Romance",6.8,249501,169100000.0,119300000.0,288400000.0,Comedy,Romance,
210,Sex And The City 2,2010,146.0,"Comedy,Drama,Romance",4.4,69199,95300000.0,193000000.0,288300000.0,Comedy,Drama,Romance
211,Pitch Perfect 2,2015,115.0,"Comedy,Music",6.4,130692,184300000.0,103200000.0,287500000.0,Comedy,Music,
212,Elysium,2013,109.0,"Action,Drama,Sci-Fi",6.6,395572,93100000.0,193100000.0,286200000.0,Action,Drama,Sci-Fi
213,Oblivion,2013,124.0,"Action,Adventure,Sci-Fi",7.0,453966,89100000.0,197100000.0,286200000.0,Action,Adventure,Sci-Fi
214,John Carter,2012,132.0,"Action,Adventure,Sci-Fi",6.6,241792,73100000.0,211100000.0,284200000.0,Action,Adventure,Sci-Fi
215,Turbo,2013,96.0,"Adventure,Animation,Comedy",6.4,74639,83000000.0,199500000.0,282500000.0,Adventure,Animation,Comedy
